timestamp,power_w,temperature_c
2026-06-05T06:00:01.289Z,4.32,19.4
2026-06-05T06:00:02.288Z,0.34,19.4
2026-06-05T06:00:04.287Z,5.26,19.4
2026-06-05T06:00:06.281Z,32.64,19.4
2026-06-05T06:00:07.295Z,65.74,19.4
2026-06-05T06:03:19.308Z,69.72,19.4
2026-06-05T06:04:26.612Z,69.33,19.4
2026-06-05T06:10:46.108Z,70.53,19.03
2026-06-05T06:18:29.647Z,70.61,19.03
2026-06-05T06:26:26.402Z,71.12,18.7
2026-06-05T06:33:39.735Z,71.19,18.6
2026-06-05T06:39:48.676Z,71.2,18.4
2026-06-05T06:46:11.457Z,71.59,18.3
2026-06-05T06:59:08.848Z,72.15,18.0
2026-06-05T07:04:47.374Z,72.41,18.0
2026-06-05T07:10:22.054Z,72.44,17.9
2026-06-05T07:16:49.850Z,72.48,17.8
2026-06-05T07:22:08.075Z,73.12,17.6
2026-06-05T07:28:15.390Z,72.84,17.5
2026-06-05T07:33:55.348Z,73.06,17.5
2026-06-05T07:39:21.486Z,73.74,17.4
2026-06-05T07:39:38.380Z,73.96,17.4
2026-06-05T07:45:14.706Z,73.45,17.4
2026-06-05T07:51:02.639Z,74.21,17.3
2026-06-05T07:57:22.728Z,74.33,17.3
2026-06-05T08:03:34.785Z,74.45,17.2
2026-06-05T08:08:57.440Z,74.46,17.1
2026-06-05T08:14:36.311Z,74.43,17.0
2026-06-05T08:27:43.842Z,74.71,17.0
2026-06-05T08:32:52.822Z,74.77,16.9
2026-06-05T08:38:16.047Z,74.87,16.8
2026-06-05T08:43:20.836Z,75.09,16.8
2026-06-05T08:49:29.958Z,75.98,16.7
2026-06-05T08:56:48.854Z,75.9,16.7
2026-06-05T09:04:14.766Z,75.96,16.7
2026-06-05T09:11:59.660Z,76.36,16.6
2026-06-05T09:17:26.994Z,76.65,16.5
2026-06-05T09:24:46.072Z,76.66,16.5
2026-06-05T09:32:24.858Z,77.05,16.4
2026-06-05T09:37:53.386Z,77.09,16.4
2026-06-05T09:43:35.413Z,77.2,16.3
2026-06-05T09:50:06.126Z,77.9,16.3
2026-06-05T09:55:42.815Z,77.6,16.3
2026-06-05T09:59:43.474Z,78.41,16.2
2026-06-05T10:03:33.738Z,77.79,16.2
2026-06-05T10:10:34.420Z,78.08,16.2
2026-06-05T10:18:13.011Z,78.8,16.2
2026-06-05T10:24:32.840Z,79.08,16.1
2026-06-05T10:30:48.465Z,78.59,16.0
2026-06-05T10:36:57.126Z,79.46,15.9
2026-06-05T10:43:02.029Z,79.55,15.9
2026-06-05T10:48:20.325Z,79.16,15.9
2026-06-05T10:54:03.062Z,79.63,15.8
2026-06-05T11:01:13.362Z,79.96,15.8
2026-06-05T11:13:45.087Z,79.85,15.7
2026-06-05T11:21:13.297Z,80.41,15.6
2026-06-05T11:28:07.574Z,80.99,15.6
2026-06-05T11:34:12.076Z,81.11,15.6
2026-06-05T11:40:36.390Z,80.85,15.6
2026-06-05T11:48:08.306Z,81.16,15.5
2026-06-05T11:53:24.391Z,82.05,15.5
2026-06-05T11:59:26.681Z,82.19,15.4
2026-06-05T12:10:57.933Z,82.11,15.4
2026-06-05T12:18:13.351Z,82.26,15.4
2026-06-05T12:23:05.618Z,83.13,15.3
2026-06-05T12:25:14.727Z,82.43,15.3
2026-06-05T12:32:35.740Z,82.58,15.3
2026-06-05T12:37:39.833Z,83.37,15.2
2026-06-05T12:42:43.540Z,82.69,15.2
2026-06-05T12:49:40.838Z,83.4,15.2
2026-06-05T12:56:56.629Z,82.94,15.1
2026-06-05T13:04:13.049Z,83.06,15.2
2026-06-05T13:11:21.677Z,83.29,15.1
2026-06-05T13:18:43.568Z,83.24,15.1
2026-06-05T13:26:29.113Z,83.9,15.1
2026-06-05T13:28:28.682Z,77.99,15.1
2026-06-05T13:32:42.667Z,73.27,15.1
2026-06-05T13:34:04.984Z,71.16,15.1
2026-06-05T13:35:44.672Z,68.86,15.2
2026-06-05T13:36:02.659Z,0,15.2
