timestamp,power_w,temperature_c
2026-06-08T18:00:00-07:00,1.80,22.0
2026-06-08T18:01:00-07:00,46.00,22.0
2026-06-08T18:02:00-07:00,62.00,22.0
2026-06-08T18:03:00-07:00,70.20,22.0
2026-06-08T18:05:00-07:00,70.80,22.0
2026-06-08T18:10:00-07:00,71.00,22.0
2026-06-08T18:20:00-07:00,71.50,22.0
2026-06-08T18:30:00-07:00,72.00,22.0
2026-06-08T18:40:00-07:00,72.50,22.0
2026-06-08T18:50:00-07:00,73.00,22.0
2026-06-08T19:00:00-07:00,73.50,22.0
2026-06-08T19:10:00-07:00,74.00,22.0
2026-06-08T19:20:00-07:00,74.50,22.0
2026-06-08T19:30:00-07:00,75.00,22.0
2026-06-08T19:40:00-07:00,75.50,22.0
2026-06-08T19:50:00-07:00,76.00,22.0
2026-06-08T20:00:00-07:00,76.50,22.0
2026-06-08T20:10:00-07:00,77.00,22.0
2026-06-08T20:20:00-07:00,77.50,22.0
2026-06-08T20:30:00-07:00,78.00,22.0
2026-06-08T20:40:00-07:00,78.50,22.0
2026-06-08T20:50:00-07:00,79.00,22.0
2026-06-08T21:00:00-07:00,79.50,22.0
2026-06-08T21:10:00-07:00,80.00,22.0
2026-06-08T21:20:00-07:00,80.50,22.0
2026-06-08T21:30:00-07:00,81.00,22.0
2026-06-08T21:40:00-07:00,81.50,22.0
2026-06-08T21:50:00-07:00,82.00,22.0
2026-06-08T22:00:00-07:00,82.50,22.0
2026-06-08T22:10:00-07:00,83.00,22.0
2026-06-08T22:20:00-07:00,77.50,22.0
2026-06-08T22:30:00-07:00,72.00,22.0
2026-06-08T22:40:00-07:00,66.50,22.0
2026-06-08T22:50:00-07:00,61.00,22.0
2026-06-08T23:00:00-07:00,55.50,22.0
2026-06-08T23:10:00-07:00,50.00,22.0
2026-06-08T23:20:00-07:00,44.50,22.0
2026-06-08T23:30:00-07:00,39.00,22.0
2026-06-08T23:40:00-07:00,33.50,22.0
2026-06-08T23:50:00-07:00,28.00,22.0
2026-06-09T00:00:00-07:00,22.50,22.0
2026-06-09T00:10:00-07:00,18.00,22.0
2026-06-09T00:20:00-07:00,4.47,22.0
2026-06-09T00:30:00-07:00,3.93,22.0
2026-06-09T00:40:00-07:00,3.40,22.0
2026-06-09T00:50:00-07:00,2.87,22.0
2026-06-09T01:00:00-07:00,2.33,22.0
2026-06-09T01:10:00-07:00,1.80,22.0
