timestamp,power_w,temperature_c
2026-06-08T18:00:00-07:00,1.80,21.0
2026-06-08T18:10:00-07:00,69.00,21.0
2026-06-08T18:20:00-07:00,69.52,21.0
2026-06-08T18:30:00-07:00,70.03,21.0
2026-06-08T22:30:00-07:00,82.45,21.0
2026-06-08T22:40:00-07:00,82.97,21.0
2026-06-08T22:50:00-07:00,83.48,21.0
2026-06-08T23:00:00-07:00,84.00,21.0
2026-06-08T23:10:00-07:00,78.50,21.0
2026-06-08T23:20:00-07:00,73.00,21.0
2026-06-08T23:30:00-07:00,67.50,21.0
2026-06-08T23:40:00-07:00,62.00,21.0
2026-06-08T23:50:00-07:00,56.50,21.0
2026-06-09T00:00:00-07:00,51.00,21.0
2026-06-09T00:10:00-07:00,45.50,21.0
2026-06-09T00:20:00-07:00,40.00,21.0
2026-06-09T00:30:00-07:00,34.50,21.0
2026-06-09T00:40:00-07:00,29.00,21.0
2026-06-09T00:50:00-07:00,23.50,21.0
2026-06-09T01:00:00-07:00,18.00,21.0
2026-06-09T01:10:00-07:00,4.47,21.0
2026-06-09T01:20:00-07:00,3.93,21.0
2026-06-09T01:30:00-07:00,3.40,21.0
2026-06-09T01:40:00-07:00,2.87,21.0
2026-06-09T01:50:00-07:00,2.33,21.0
2026-06-09T02:00:00-07:00,1.80,21.0
