timestamp,power_w,temperature_c
2026-06-08T18:00:00-07:00,2.10,20.6
2026-06-08T18:10:00-07:00,68.30,20.7
2026-06-08T18:20:00-07:00,70.40,20.8
2026-06-08T18:30:00-07:00,69.20,20.6
2026-06-08T18:40:00-07:00,71.30,20.9
2026-06-08T18:50:00-07:00,70.10,21.1
2026-06-08T19:00:00-07:00,72.40,21.0
2026-06-08T19:10:00-07:00,71.20,21.2
2026-06-08T19:20:00-07:00,73.50,21.0
2026-06-08T19:30:00-07:00,72.30,20.9
2026-06-08T19:40:00-07:00,74.60,21.3
2026-06-08T19:50:00-07:00,73.10,21.1
2026-06-08T20:00:00-07:00,75.80,21.0
2026-06-08T20:10:00-07:00,74.20,21.2
2026-06-08T20:20:00-07:00,76.90,21.4
2026-06-08T20:30:00-07:00,75.30,21.1
2026-06-08T20:40:00-07:00,77.40,21.0
2026-06-08T20:50:00-07:00,76.10,21.3
2026-06-08T21:00:00-07:00,78.60,21.2
2026-06-08T21:10:00-07:00,77.20,21.1
2026-06-08T21:20:00-07:00,79.70,21.4
2026-06-08T21:30:00-07:00,78.30,21.2
2026-06-08T21:40:00-07:00,80.80,21.0
2026-06-08T21:50:00-07:00,79.40,21.3
2026-06-08T22:00:00-07:00,81.90,21.1
2026-06-08T22:10:00-07:00,80.50,21.2
2026-06-08T22:20:00-07:00,82.70,21.4
2026-06-08T22:30:00-07:00,81.60,21.3
2026-06-08T22:40:00-07:00,83.40,21.2
2026-06-08T22:50:00-07:00,82.10,21.1
2026-06-08T23:00:00-07:00,84.30,21.3
2026-06-08T23:10:00-07:00,79.10,21.2
2026-06-08T23:20:00-07:00,72.40,21.1
2026-06-08T23:30:00-07:00,68.20,21.0
2026-06-08T23:40:00-07:00,61.30,20.9
2026-06-08T23:50:00-07:00,57.10,20.8
2026-06-09T00:00:00-07:00,50.40,20.7
2026-06-09T00:10:00-07:00,46.20,20.6
2026-06-09T00:20:00-07:00,39.40,20.5
2026-06-09T00:30:00-07:00,35.10,20.4
2026-06-09T00:40:00-07:00,28.60,20.3
2026-06-09T00:50:00-07:00,24.10,20.2
2026-06-09T01:00:00-07:00,17.40,20.1
2026-06-09T01:10:00-07:00,5.10,20.0
2026-06-09T01:20:00-07:00,3.60,20.0
2026-06-09T01:30:00-07:00,3.10,20.0
2026-06-09T01:40:00-07:00,2.60,19.9
2026-06-09T01:50:00-07:00,2.40,19.9
2026-06-09T02:00:00-07:00,2.00,19.9
